id,subfolder,target,pa_nmod
air/Royal_Society_Corpus_open_v6.0_text_104969_1755.txt/1577,1755,['air/N'],property/N
air/Royal_Society_Corpus_open_v6.0_text_104969_1755.txt/1635,1755,['air/N'],effect/N
air/Royal_Society_Corpus_open_v6.0_text_104969_1755.txt/1918,1755,['air/N'],force/N
air/Royal_Society_Corpus_open_v6.0_text_104969_1755.txt/2108,1755,['air/N'],pressure/N
air/Royal_Society_Corpus_open_v6.0_text_104918_1755.txt/993,1755,['air/N'],vapour/N
air/Royal_Society_Corpus_open_v6.0_text_104918_1755.txt/1377,1755,['air/N'],weight/N
air/Royal_Society_Corpus_open_v6.0_text_104918_1755.txt/1439,1755,['air/N'],density/N
air/Royal_Society_Corpus_open_v6.0_text_104918_1755.txt/1476,1755,['air/N'],density/N
air/Royal_Society_Corpus_open_v6.0_text_104918_1755.txt/2605,1755,['air/N'],rarefaction/N
air/Royal_Society_Corpus_open_v6.0_text_104918_1755.txt/2682,1755,['air/N'],that/P
air/Royal_Society_Corpus_open_v6.0_text_104918_1755.txt/3383,1755,['air/N'],weight/N
air/Royal_Society_Corpus_open_v6.0_text_104918_1755.txt/3465,1755,['air/N'],weight/N
air/Royal_Society_Corpus_open_v6.0_text_104918_1755.txt/3943,1755,['air/N'],motion/N
air/Royal_Society_Corpus_open_v6.0_text_104918_1755.txt/4265,1755,['air/N'],part/N
air/Royal_Society_Corpus_open_v6.0_text_104918_1755.txt/4358,1755,['air/N'],weight/N
air/Royal_Society_Corpus_open_v6.0_text_104918_1755.txt/4517,1755,['air/N'],pressure/N
air/Royal_Society_Corpus_open_v6.0_text_104918_1755.txt/4537,1755,['air/N'],place/N
air/Royal_Society_Corpus_open_v6.0_text_104918_1755.txt/4611,1755,['air/N'],column/N
air/Royal_Society_Corpus_open_v6.0_text_104918_1755.txt/4969,1755,['air/N'],column/N
air/Royal_Society_Corpus_open_v6.0_text_104918_1755.txt/5726,1755,['air/N'],pressure/N
air/Royal_Society_Corpus_open_v6.0_text_104918_1755.txt/5925,1755,['air/N'],region/N
air/Royal_Society_Corpus_open_v6.0_text_104918_1755.txt/6283,1755,['air/N'],column/N
air/Royal_Society_Corpus_open_v6.0_text_104918_1755.txt/6551,1755,['air/N'],current/N
air/Royal_Society_Corpus_open_v6.0_text_104918_1755.txt/7393,1755,['air/N'],weight/N
air/Royal_Society_Corpus_open_v6.0_text_104918_1755.txt/7417,1755,['air/N'],column/N
air/Royal_Society_Corpus_open_v6.0_text_104918_1755.txt/7438,1755,['air/N'],weight/N
air/Royal_Society_Corpus_open_v6.0_text_104918_1755.txt/7490,1755,['air/N'],column/N
air/Royal_Society_Corpus_open_v6.0_text_104918_1755.txt/7602,1755,['air/N'],column/N
air/Royal_Society_Corpus_open_v6.0_text_104918_1755.txt/7993,1755,['air/N'],circulation/N
air/Royal_Society_Corpus_open_v6.0_text_105416_1759.txt/244,1755,['air/N'],principle/N
air/Royal_Society_Corpus_open_v6.0_text_105416_1759.txt/1917,1755,['air/N'],temperature/N
air/Royal_Society_Corpus_open_v6.0_text_105242_1757.txt/1037,1755,['air/N'],proportion/N
air/Royal_Society_Corpus_open_v6.0_text_105242_1757.txt/6055,1755,['air/N'],bubble/N
air/Royal_Society_Corpus_open_v6.0_text_105242_1757.txt/6475,1755,['air/N'],bubble/N
air/Royal_Society_Corpus_open_v6.0_text_105382_1759.txt/8115,1755,['air/N'],temperature/N
air/Royal_Society_Corpus_open_v6.0_text_105382_1759.txt/8313,1755,['air/N'],temperature/N
air/Royal_Society_Corpus_open_v6.0_text_105382_1759.txt/15436,1755,['air/N'],pressure/N
air/Royal_Society_Corpus_open_v6.0_text_105369_1759.txt/1320,1755,['air/N'],heat/N
air/Royal_Society_Corpus_open_v6.0_text_105381_1759.txt/1003,1755,['air/N'],quantity/N
air/Royal_Society_Corpus_open_v6.0_text_105381_1759.txt/2826,1755,['air/N'],motion/N
air/Royal_Society_Corpus_open_v6.0_text_105381_1759.txt/7831,1755,['air/N'],effect/N
air/Royal_Society_Corpus_open_v6.0_text_105381_1759.txt/7851,1755,['air/N'],particle/N
air/Royal_Society_Corpus_open_v6.0_text_105381_1759.txt/8070,1755,['air/N'],particle/N
air/Royal_Society_Corpus_open_v6.0_text_105381_1759.txt/8141,1755,['air/N'],experiment/N
air/Royal_Society_Corpus_open_v6.0_text_105381_1759.txt/8527,1755,['air/N'],effect/N
air/Royal_Society_Corpus_open_v6.0_text_105381_1759.txt/8618,1755,['air/N'],property/N
air/Royal_Society_Corpus_open_v6.0_text_105381_1759.txt/8922,1755,['air/N'],fluid/N
air/Royal_Society_Corpus_open_v6.0_text_105275_1757.txt/2427,1755,['air/N'],heat/N
air/Royal_Society_Corpus_open_v6.0_text_104947_1755.txt/17,1755,['air/N'],shower/N
air/Royal_Society_Corpus_open_v6.0_text_104947_1755.txt/342,1755,['air/N'],shower/N
air/Royal_Society_Corpus_open_v6.0_text_104947_1755.txt/430,1755,['air/N'],shower/N
air/Royal_Society_Corpus_open_v6.0_text_104947_1755.txt/518,1755,['air/N'],shower/N
air/Royal_Society_Corpus_open_v6.0_text_104947_1755.txt/1056,1755,['air/N'],stream/N
air/Royal_Society_Corpus_open_v6.0_text_104947_1755.txt/1147,1755,['air/N'],force/N
air/Royal_Society_Corpus_open_v6.0_text_104947_1755.txt/1199,1755,['air/N'],pressure/N
air/Royal_Society_Corpus_open_v6.0_text_104947_1755.txt/1632,1755,['air/N'],shower/N
air/Royal_Society_Corpus_open_v6.0_text_104947_1755.txt/4047,1755,['air/N'],quantity/N
air/Royal_Society_Corpus_open_v6.0_text_104947_1755.txt/5920,1755,['air/N'],shower/N
air/Royal_Society_Corpus_open_v6.0_text_105263_1757.txt/2791,1755,['air/N'],that/P
air/Royal_Society_Corpus_open_v6.0_text_105743_1763.txt/4395,1760,['air/N'],that/P
air/Royal_Society_Corpus_open_v6.0_text_105743_1763.txt/4947,1760,['air/N'],communication/N
air/Royal_Society_Corpus_open_v6.0_text_105743_1763.txt/6250,1760,['air/N'],change/N
air/Royal_Society_Corpus_open_v6.0_text_105743_1763.txt/6979,1760,['air/N'],state/N
air/Royal_Society_Corpus_open_v6.0_text_105743_1763.txt/7434,1760,['air/N'],temper/N
air/Royal_Society_Corpus_open_v6.0_text_105743_1763.txt/7462,1760,['air/N'],heat/N
air/Royal_Society_Corpus_open_v6.0_text_105743_1763.txt/7513,1760,['air/N'],heat/N
air/Royal_Society_Corpus_open_v6.0_text_105743_1763.txt/7896,1760,['air/N'],temperature/N
air/Royal_Society_Corpus_open_v6.0_text_105743_1763.txt/8026,1760,['air/N'],temper/N
air/Royal_Society_Corpus_open_v6.0_text_105743_1763.txt/9356,1760,['air/N'],quantity/N
air/Royal_Society_Corpus_open_v6.0_text_105560_1764.txt/462,1760,['air/N'],elasticity/N
air/Royal_Society_Corpus_open_v6.0_text_105681_1761.txt/655,1760,['air/N'],rarefaction/N
air/Royal_Society_Corpus_open_v6.0_text_105681_1761.txt/689,1760,['air/N'],condensation/N
air/Royal_Society_Corpus_open_v6.0_text_105681_1761.txt/774,1760,['air/N'],heat/N
air/Royal_Society_Corpus_open_v6.0_text_105681_1761.txt/1031,1760,['air/N'],bubble/N
air/Royal_Society_Corpus_open_v6.0_text_105710_1763.txt/610,1760,['air/N'],quantity/N
air/Royal_Society_Corpus_open_v6.0_text_105710_1763.txt/654,1760,['air/N'],electricity/N
air/Royal_Society_Corpus_open_v6.0_text_105710_1763.txt/773,1760,['air/N'],quantity/N
air/Royal_Society_Corpus_open_v6.0_text_105710_1763.txt/1130,1760,['air/N'],electricity/N
air/Royal_Society_Corpus_open_v6.0_text_105710_1763.txt/1174,1760,['air/N'],electricity/N
air/Royal_Society_Corpus_open_v6.0_text_105710_1763.txt/1429,1760,['air/N'],electricity/N
air/Royal_Society_Corpus_open_v6.0_text_105710_1763.txt/1700,1760,['air/N'],state/N
air/Royal_Society_Corpus_open_v6.0_text_105710_1763.txt/2211,1760,['air/N'],heat/N
air/Royal_Society_Corpus_open_v6.0_text_105710_1763.txt/2271,1760,['air/N'],rarefaction/N
air/Royal_Society_Corpus_open_v6.0_text_105724_1763.txt/127,1760,['air/N'],thing/N
air/Royal_Society_Corpus_open_v6.0_text_105724_1763.txt/216,1760,['air/N'],thing/N
air/Royal_Society_Corpus_open_v6.0_text_105548_1764.txt/442,1760,['air/N'],moisture/N
air/Royal_Society_Corpus_open_v6.0_text_105548_1764.txt/512,1760,['air/N'],moisture/N
air/Royal_Society_Corpus_open_v6.0_text_105649_1761.txt/365,1760,['air/N'],moisture/N
air/Royal_Society_Corpus_open_v6.0_text_105649_1761.txt/462,1760,['air/N'],moisture/N
air/Royal_Society_Corpus_open_v6.0_text_105632_1761.txt/490,1760,['air/N'],heat/N
air/Royal_Society_Corpus_open_v6.0_text_105632_1761.txt/867,1760,['air/N'],heat/N
air/Royal_Society_Corpus_open_v6.0_text_105606_1761.txt/1672,1760,['air/N'],moisture/N
air/Royal_Society_Corpus_open_v6.0_text_105606_1761.txt/2280,1760,['air/N'],moisture/N
air/Royal_Society_Corpus_open_v6.0_text_105606_1761.txt/2478,1760,['air/N'],temperature/N
air/Royal_Society_Corpus_open_v6.0_text_105606_1761.txt/2969,1760,['air/N'],quantity/N
air/Royal_Society_Corpus_open_v6.0_text_105608_1761.txt/988,1760,['air/N'],temperature/N
air/Royal_Society_Corpus_open_v6.0_text_105608_1761.txt/1223,1760,['air/N'],degree/N
air/Royal_Society_Corpus_open_v6.0_text_105608_1761.txt/1471,1760,['air/N'],temperature/N
air/Royal_Society_Corpus_open_v6.0_text_105447_1765.txt/112,1765,['air/N'],ascent/N
air/Royal_Society_Corpus_open_v6.0_text_105947_1767.txt/117,1765,['air/N'],heat/N
air/Royal_Society_Corpus_open_v6.0_text_105451_1765.txt/394,1765,['air/N'],expansion/N
air/Royal_Society_Corpus_open_v6.0_text_105808_1769.txt/1717,1765,['air/N'],passage/N
air/Royal_Society_Corpus_open_v6.0_text_105808_1769.txt/1747,1765,['air/N'],passage/N
air/Royal_Society_Corpus_open_v6.0_text_105808_1769.txt/1808,1765,['air/N'],passage/N
air/Royal_Society_Corpus_open_v6.0_text_105486_1766.txt/1053,1765,['air/N'],attraction/N
air/Royal_Society_Corpus_open_v6.0_text_105828_1769.txt/441,1765,['air/N'],principle/N
air/Royal_Society_Corpus_open_v6.0_text_105828_1769.txt/1027,1765,['air/N'],quantity/N
air/Royal_Society_Corpus_open_v6.0_text_105828_1769.txt/1143,1765,['air/N'],escape/N
air/Royal_Society_Corpus_open_v6.0_text_105828_1769.txt/1402,1765,['air/N'],means/N
air/Royal_Society_Corpus_open_v6.0_text_105828_1769.txt/1613,1765,['air/N'],quantity/N
air/Royal_Society_Corpus_open_v6.0_text_105828_1769.txt/1663,1765,['air/N'],portion/N
air/Royal_Society_Corpus_open_v6.0_text_105828_1769.txt/1972,1765,['air/N'],addition/N
air/Royal_Society_Corpus_open_v6.0_text_105828_1769.txt/2404,1765,['air/N'],application/N
air/Royal_Society_Corpus_open_v6.0_text_105828_1769.txt/2757,1765,['air/N'],volume/N
air/Royal_Society_Corpus_open_v6.0_text_105976_1767.txt/343,1765,['air/N'],escape/N
air/Royal_Society_Corpus_open_v6.0_text_105976_1767.txt/398,1765,['air/N'],quantity/N
air/Royal_Society_Corpus_open_v6.0_text_105976_1767.txt/665,1765,['air/N'],quantity/N
air/Royal_Society_Corpus_open_v6.0_text_105976_1767.txt/932,1765,['air/N'],water/N
air/Royal_Society_Corpus_open_v6.0_text_105976_1767.txt/1363,1765,['air/N'],quantity/N
air/Royal_Society_Corpus_open_v6.0_text_105976_1767.txt/3776,1765,['air/N'],quantity/N
air/Royal_Society_Corpus_open_v6.0_text_105976_1767.txt/5300,1765,['air/N'],quantity/N
air/Royal_Society_Corpus_open_v6.0_text_105976_1767.txt/5342,1765,['air/N'],quantity/N
air/Royal_Society_Corpus_open_v6.0_text_105443_1765.txt/413,1765,['air/N'],addition/N
air/Royal_Society_Corpus_open_v6.0_text_105793_1768.txt/804,1765,['air/N'],moisture/N
air/Royal_Society_Corpus_open_v6.0_text_105793_1768.txt/2097,1765,['air/N'],heat/N
air/Royal_Society_Corpus_open_v6.0_text_105807_1769.txt/1246,1765,['air/N'],expulsion/N
air/Royal_Society_Corpus_open_v6.0_text_105458_1765.txt/569,1765,['air/N'],current/N
air/Royal_Society_Corpus_open_v6.0_text_105458_1765.txt/916,1765,['air/N'],particle/N
air/Royal_Society_Corpus_open_v6.0_text_105458_1765.txt/1859,1765,['air/N'],particle/N
air/Royal_Society_Corpus_open_v6.0_text_105458_1765.txt/1877,1765,['air/N'],quantity/N
air/Royal_Society_Corpus_open_v6.0_text_105458_1765.txt/2042,1765,['air/N'],force/N
air/Royal_Society_Corpus_open_v6.0_text_105458_1765.txt/2106,1765,['air/N'],bubble/N
air/Royal_Society_Corpus_open_v6.0_text_105458_1765.txt/2143,1765,['air/N'],bubble/N
air/Royal_Society_Corpus_open_v6.0_text_105458_1765.txt/2203,1765,['air/N'],part/N
air/Royal_Society_Corpus_open_v6.0_text_105458_1765.txt/2302,1765,['air/N'],attraction/N
air/Royal_Society_Corpus_open_v6.0_text_105458_1765.txt/2330,1765,['air/N'],quantity/N
air/Royal_Society_Corpus_open_v6.0_text_105458_1765.txt/3244,1765,['air/N'],water/N
air/Royal_Society_Corpus_open_v6.0_text_105458_1765.txt/4039,1765,['air/N'],current/N
air/Royal_Society_Corpus_open_v6.0_text_105458_1765.txt/4247,1765,['air/N'],bubble/N
